Resting_ECG,Resting_PPG,Resting_GSR
0.41,0.004,0.75
0.375,0.059000000000000004,0.75
0.371,0.273,0.75
0.369,0.7659999999999999,0.75
0.32299999999999995,1.645,0.7490000000000001
0.307,2.9819999999999998,0.7490000000000001
0.316,4.805,0.7490000000000001
0.27399999999999997,7.101,0.7490000000000001
0.225,9.815,0.7490000000000001
0.18600000000000003,12.865,0.7490000000000001
0.16899999999999998,16.145,0.7490000000000001
0.13699999999999998,19.541,0.748
0.07,22.935,0.748
0.045,26.218000000000004,0.748
0.035,29.289,0.748
0.023,32.07,0.748
-0.01,34.5,0.748
-0.046,36.54,0.748
-0.08,38.174,0.748
-0.063,39.402,0.747
-0.105,40.245,0.747
-0.124,40.736999999999995,0.747
-0.135,40.919000000000004,0.747
-0.177,40.844,0.747
-0.133,40.564,0.747
-0.147,40.134,0.747
-0.16899999999999998,39.604,0.747
-0.114,39.022,0.747
-0.124,38.428000000000004,0.747
-0.155,37.855,0.746
-0.133,37.33,0.746
-0.151,36.872,0.746
-0.10300000000000001,36.492,0.746
-0.131,36.194,0.746
-0.132,35.98,0.746
-0.096,35.844,0.746
-0.096,35.777,0.746
-0.08900000000000001,35.771,0.746
-0.106,35.813,0.746
-0.105,35.891,0.746
-0.08,35.993,0.745
-0.09,36.108000000000004,0.745
-0.111,36.227,0.745
-0.085,36.34,0.745
-0.065,36.441,0.745
-0.062,36.525999999999996,0.745
-0.067,36.59,0.745
-0.079,36.632,0.745
-0.09300000000000001,36.650999999999996,0.745
-0.061,36.648,0.745
-0.055999999999999994,36.623000000000005,0.745
-0.085,36.579,0.745
-0.08900000000000001,36.519,0.745
-0.049,36.445,0.7440000000000001
-0.07400000000000001,36.361999999999995,0.7440000000000001
-0.067,36.272,0.7440000000000001
-0.076,36.178000000000004,0.7440000000000001
-0.079,36.082,0.7440000000000001
-0.07200000000000001,35.988,0.7440000000000001
-0.057999999999999996,35.896,0.7440000000000001
-0.059000000000000004,35.809,0.7440000000000001
-0.057999999999999996,35.727,0.7440000000000001
-0.063,35.652,0.7440000000000001
-0.068,35.586,0.7440000000000001
-0.066,35.528,0.7440000000000001
-0.055,35.48,0.7440000000000001
-0.065,35.443000000000005,0.7440000000000001
-0.092,35.416,0.7440000000000001
-0.087,35.4,0.7440000000000001
-0.073,35.394,0.7440000000000001
-0.07400000000000001,35.398,0.7440000000000001
-0.08199999999999999,35.413000000000004,0.743
-0.086,35.437,0.743
-0.087,35.468,0.7440000000000001
-0.085,35.507,0.7440000000000001
-0.10400000000000001,35.552,0.743
-0.069,35.603,0.743
-0.081,35.658,0.7440000000000001
-0.079,35.717,0.7440000000000001
-0.085,35.778,0.743
-0.095,35.839,0.743
-0.081,35.899,0.743
-0.079,35.955999999999996,0.743
-0.08800000000000001,36.010999999999996,0.743
-0.087,36.063,0.743
-0.07400000000000001,36.111,0.743
-0.083,36.155,0.743
-0.06,36.194,0.743
-0.07400000000000001,36.229,0.743
-0.059000000000000004,36.26,0.743
-0.055999999999999994,36.285,0.743
-0.053,36.305,0.743
-0.059000000000000004,36.319,0.743
-0.052000000000000005,36.326,0.743
-0.064,36.327,0.743
-0.043,36.321999999999996,0.743
-0.045,36.309,0.743
-0.049,36.288000000000004,0.743
-0.040999999999999995,36.26,0.743
-0.036000000000000004,36.223,0.743
-0.048,36.177,0.743
-0.043,36.122,0.743
-0.046,36.058,0.743
-0.044000000000000004,35.985,0.743
-0.027999999999999997,35.904,0.743
-0.038,35.815,0.743
-0.035,35.721,0.743
-0.055,35.623000000000005,0.743
-0.027000000000000003,35.524,0.743
-0.016,35.424,0.743
-0.006999999999999999,35.326,0.743
-0.003,35.232,0.743
-0.016,35.143,0.743
-0.03,35.059,0.743
-0.04,34.982,0.743
-0.024,34.913000000000004,0.743
-0.009000000000000001,34.851,0.743
-0.012,34.797,0.743
