Trial 1:0back,Trial 2:2back,Trial 3:3back,Trial 4:2back,Trial 5:3back,Trial 6:0back
-1878283.0,-1724871.0,-1578345.0,-1596569.0,-1617505.0,-1568195.0
-1878105.0,-1724575.0,-1579037.0,-1596451.0,-1617781.0,-1568491.0
-1878007.0,-1725327.0,-1579255.0,-1597103.0,-1618137.0,-1568393.0
-1877313.0,-1724811.0,-1578939.0,-1597301.0,-1618593.0,-1568313.0
-1878105.0,-1725089.0,-1578839.0,-1598013.0,-1619761.0,-1569163.0
-1878421.0,-1724911.0,-1579275.0,-1597835.0,-1619167.0,-1569341.0
-1877709.0,-1724495.0,-1579275.0,-1598627.0,-1619029.0,-1569421.0
-1878401.0,-1724891.0,-1579947.0,-1599083.0,-1618533.0,-1570193.0
-1878343.0,-1724911.0,-1579789.0,-1599319.0,-1617643.0,-1569777.0
-1878441.0,-1724613.0,-1579947.0,-1600091.0,-1617187.0,-1570411.0
-1878383.0,-1724535.0,-1579433.0,-1600803.0,-1616633.0,-1570449.0
-1878323.0,-1723763.0,-1578939.0,-1601101.0,-1615881.0,-1570667.0
-1877491.0,-1724041.0,-1578681.0,-1602407.0,-1614141.0,-1570767.0
-1878303.0,-1724377.0,-1578325.0,-1602447.0,-1613091.0,-1571083.0
-1877709.0,-1724753.0,-1578583.0,-1603535.0,-1612637.0,-1571163.0
-1878007.0,-1724713.0,-1578049.0,-1603079.0,-1611549.0,-1571479.0
-1877769.0,-1724613.0,-1578107.0,-1603989.0,-1610223.0,-1571697.0
-1878007.0,-1724397.0,-1577771.0,-1604543.0,-1609727.0,-1571657.0
-1878185.0,-1724633.0,-1577613.0,-1603593.0,-1609135.0,-1572151.0
-1877453.0,-1725307.0,-1577317.0,-1603593.0,-1608601.0,-1572469.0
-1877809.0,-1725089.0,-1577355.0,-1602683.0,-1607531.0,-1572667.0
-1878065.0,-1725643.0,-1576999.0,-1602307.0,-1607333.0,-1572785.0
-1877709.0,-1725583.0,-1576841.0,-1601299.0,-1607333.0,-1572825.0
-1877729.0,-1725861.0,-1577711.0,-1600725.0,-1606819.0,-1573695.0
-1878045.0,-1726513.0,-1576979.0,-1599141.0,-1607117.0,-1573873.0
-1878659.0,-1727285.0,-1577435.0,-1598647.0,-1606661.0,-1574131.0
-1878441.0,-1726791.0,-1578405.0,-1597381.0,-1606661.0,-1574903.0
-1879035.0,-1728037.0,-1577851.0,-1597103.0,-1605929.0,-1573953.0
-1879193.0,-1727721.0,-1577871.0,-1597025.0,-1605929.0,-1574903.0
-1878739.0,-1727661.0,-1578147.0,-1595917.0,-1606205.0,-1575041.0
-1878719.0,-1727997.0,-1578623.0,-1595937.0,-1606107.0,-1575515.0
-1878421.0,-1727939.0,-1578563.0,-1595579.0,-1606383.0,-1576347.0
-1879193.0,-1728591.0,-1579829.0,-1594749.0,-1605969.0,-1576169.0
-1878699.0,-1728749.0,-1579711.0,-1595441.0,-1606661.0,-1576545.0
-1879371.0,-1728967.0,-1579987.0,-1595383.0,-1606007.0,-1576307.0
-1879491.0,-1729225.0,-1580107.0,-1595125.0,-1605593.0,-1577791.0
-1879747.0,-1729165.0,-1580799.0,-1595205.0,-1606561.0,-1577553.0
-1879689.0,-1729877.0,-1581095.0,-1594847.0,-1606403.0,-1578087.0
-1880381.0,-1730451.0,-1581729.0,-1595857.0,-1605631.0,-1578681.0
-1879629.0,-1729937.0,-1581807.0,-1594887.0,-1606225.0,-1579195.0
-1880103.0,-1730689.0,-1582125.0,-1595343.0,-1604741.0,-1578821.0
-1880459.0,-1731105.0,-1582817.0,-1595303.0,-1605613.0,-1579671.0
