RRI_inf,PPI_pix
925.78125,890.0
929.6875,920.0
851.5625,940.0
863.28125,800.0
835.9375,830.0
808.59375,780.0
796.875,800.0
917.96875,910.0
968.75,990.0
964.84375,940.0
960.9375,990.0
925.78125,930.0
906.25,900.0
875.0,880.0
839.84375,790.0
851.5625,880.0
871.09375,860.0
906.25,900.0
929.6875,960.0
937.5,930.0
945.3125,950.0
945.3125,940.0
929.6875,930.0
921.875,900.0
906.25,910.0
878.90625,880.0
867.1875,870.0
824.21875,830.0
757.8125,760.0
816.40625,810.0
839.84375,840.0
894.53125,890.0
917.96875,920.0
867.1875,850.0
898.4375,910.0
910.15625,920.0
894.53125,890.0
914.0625,900.0
933.59375,920.0
941.40625,980.0
906.25,880.0
882.8125,860.0
828.125,890.0
832.03125,780.0
835.9375,860.0
847.65625,830.0
871.09375,880.0
925.78125,930.0
945.3125,950.0
964.84375,960.0
972.65625,970.0
964.84375,990.0
929.6875,910.0
914.0625,910.0
898.4375,780.0
906.25,970.0
910.15625,1370.0
921.875,1470.0
945.3125,920.0
992.1875,720.0
976.5625,1250.0
937.5,930.0
949.21875,950.0
945.3125,930.0
960.9375,960.0
933.59375,940.0
917.96875,840.0
910.15625,960.0
910.15625,880.0
871.09375,870.0
875.0,1000.0
773.4375,680.0
906.25,860.0
855.46875,810.0
792.96875,760.0
773.4375,770.0
761.71875,730.0
757.8125,730.0
730.46875,710.0
726.5625,740.0
726.5625,740.0
738.28125,760.0
750.0,730.0
742.1875,760.0
750.0,740.0
753.90625,730.0
757.8125,810.0
781.25,770.0
773.4375,800.0
808.59375,820.0
816.40625,830.0
820.3125,820.0
835.9375,840.0
843.75,850.0
855.46875,880.0
871.09375,870.0
863.28125,890.0
875.0,840.0
859.375,880.0
863.28125,840.0
855.46875,840.0
851.5625,840.0
839.84375,850.0
847.65625,830.0
847.65625,870.0
847.65625,840.0
828.125,820.0
820.3125,820.0
824.21875,820.0
820.3125,820.0
816.40625,780.0
792.96875,770.0
765.625,690.0
707.03125,700.0
710.9375,730.0
714.84375,750.0
742.1875,790.0
804.6875,840.0
843.75,880.0
859.375,880.0
894.53125,880.0
882.8125,860.0
867.1875,870.0
863.28125,820.0
835.9375,840.0
843.75,850.0
843.75,820.0
832.03125,870.0
820.3125,770.0
808.59375,790.0
796.875,850.0
832.03125,830.0
