RRI_inf,PPI_pix
519.53125,870.0
792.96875,790.0
800.78125,800.0
785.15625,790.0
816.40625,820.0
753.90625,740.0
738.28125,730.0
765.625,760.0
777.34375,800.0
808.59375,800.0
753.90625,770.0
738.28125,730.0
730.46875,710.0
910.15625,910.0
933.59375,940.0
976.5625,960.0
953.125,900.0
925.78125,990.0
898.4375,910.0
835.9375,840.0
847.65625,860.0
886.71875,870.0
886.71875,880.0
878.90625,880.0
882.8125,880.0
898.4375,890.0
894.53125,900.0
910.15625,890.0
906.25,930.0
894.53125,900.0
867.1875,850.0
855.46875,840.0
839.84375,850.0
824.21875,840.0
785.15625,780.0
824.21875,830.0
855.46875,860.0
871.09375,850.0
878.90625,890.0
890.625,860.0
855.46875,870.0
859.375,870.0
847.65625,840.0
832.03125,820.0
851.5625,840.0
867.1875,880.0
878.90625,890.0
871.09375,870.0
929.6875,910.0
914.0625,910.0
914.0625,910.0
894.53125,910.0
871.09375,870.0
835.9375,840.0
835.9375,810.0
843.75,860.0
855.46875,860.0
855.46875,870.0
859.375,830.0
867.1875,880.0
882.8125,850.0
472.65625,910.0
402.34375,850.0
574.21875,870.0
300.78125,890.0
871.09375,880.0
871.09375,910.0
894.53125,890.0
902.34375,910.0
894.53125,860.0
902.34375,930.0
894.53125,930.0
906.25,820.0
898.4375,900.0
859.375,930.0
882.8125,960.0
949.21875,960.0
960.9375,920.0
941.40625,890.0
925.78125,890.0
890.625,900.0
894.53125,930.0
902.34375,910.0
925.78125,910.0
921.875,880.0
906.25,880.0
878.90625,840.0
882.8125,880.0
843.75,900.0
898.4375,970.0
906.25,900.0
941.40625,980.0
917.96875,820.0
906.25,880.0
882.8125,880.0
878.90625,870.0
878.90625,930.0
871.09375,960.0
937.5,1010.0
968.75,1010.0
1015.625,940.0
988.28125,910.0
933.59375,930.0
925.78125,910.0
917.96875,950.0
925.78125,900.0
929.6875,780.0
851.5625,860.0
863.28125,790.0
835.9375,790.0
808.59375,920.0
796.875,980.0
917.96875,940.0
968.75,990.0
964.84375,930.0
960.9375,900.0
925.78125,890.0
906.25,800.0
875.0,870.0
839.84375,860.0
851.5625,900.0
871.09375,930.0
906.25,940.0
929.6875,930.0
937.5,960.0
945.3125,930.0
945.3125,910.0
929.6875,910.0
921.875,880.0
906.25,910.0
