RRI_inf,PPI_pix
1011.71875,920.0
953.125,840.0
933.59375,880.0
875.0,780.0
847.65625,730.0
800.78125,870.0
757.8125,890.0
832.03125,900.0
882.8125,910.0
894.53125,920.0
902.34375,940.0
914.0625,940.0
929.6875,940.0
941.40625,930.0
945.3125,880.0
941.40625,890.0
894.53125,880.0
894.53125,860.0
878.90625,860.0
886.71875,830.0
859.375,880.0
847.65625,820.0
859.375,1490.0
804.6875,810.0
730.46875,740.0
789.0625,780.0
781.25,800.0
742.1875,770.0
781.25,810.0
781.25,820.0
773.4375,810.0
820.3125,770.0
820.3125,780.0
800.78125,820.0
777.34375,750.0
789.0625,790.0
824.21875,840.0
750.0,850.0
808.59375,860.0
843.75,890.0
847.65625,800.0
855.46875,800.0
882.8125,810.0
808.59375,850.0
812.5,840.0
832.03125,850.0
812.5,880.0
832.03125,830.0
847.65625,920.0
871.09375,910.0
824.21875,890.0
917.96875,810.0
914.0625,840.0
886.71875,850.0
820.3125,850.0
851.5625,840.0
863.28125,830.0
855.46875,890.0
832.03125,880.0
847.65625,830.0
882.8125,860.0
878.90625,910.0
828.125,900.0
867.1875,790.0
910.15625,840.0
894.53125,890.0
800.78125,810.0
843.75,840.0
886.71875,900.0
812.5,900.0
859.375,800.0
902.34375,910.0
894.53125,930.0
816.40625,840.0
894.53125,850.0
914.0625,850.0
832.03125,790.0
863.28125,800.0
851.5625,810.0
796.875,840.0
800.78125,760.0
820.3125,820.0
835.9375,830.0
777.34375,850.0
816.40625,760.0
835.9375,840.0
835.9375,860.0
765.625,870.0
839.84375,810.0
859.375,860.0
859.375,870.0
808.59375,830.0
863.28125,740.0
867.1875,820.0
832.03125,880.0
746.09375,870.0
832.03125,870.0
867.1875,850.0
875.0,880.0
871.09375,880.0
859.375,820.0
878.90625,860.0
871.09375,880.0
820.3125,880.0
867.1875,840.0
875.0,880.0
882.8125,880.0
839.84375,820.0
882.8125,840.0
878.90625,880.0
816.40625,840.0
855.46875,780.0
875.0,820.0
832.03125,860.0
785.15625,790.0
828.125,830.0
859.375,860.0
792.96875,920.0
828.125,850.0
863.28125,880.0
914.0625,880.0
851.5625,840.0
890.625,760.0
878.90625,820.0
832.03125,850.0
769.53125,870.0
820.3125,770.0
855.46875,830.0
855.46875,850.0
773.4375,870.0
839.84375,870.0
