RRI_inf,PPI_inf,PPI_pix
835.9375,835.9375,980.0
828.125,824.21875,690.0
804.6875,804.6875,840.0
847.65625,843.75,1590.0
851.5625,855.46875,1710.0
824.21875,824.21875,800.0
839.84375,843.75,1060.0
847.65625,847.65625,690.0
820.3125,820.3125,800.0
785.15625,781.25,790.0
800.78125,800.78125,780.0
816.40625,816.40625,840.0
785.15625,789.0625,760.0
750.0,750.0,750.0
796.875,792.96875,810.0
828.125,828.125,820.0
851.5625,851.5625,890.0
816.40625,816.40625,770.0
851.5625,855.46875,860.0
855.46875,855.46875,860.0
855.46875,859.375,840.0
804.6875,804.6875,820.0
839.84375,835.9375,810.0
835.9375,839.84375,870.0
828.125,828.125,790.0
855.46875,855.46875,860.0
871.09375,871.09375,870.0
820.3125,824.21875,840.0
843.75,839.84375,840.0
871.09375,871.09375,860.0
855.46875,855.46875,870.0
855.46875,855.46875,840.0
902.34375,902.34375,910.0
875.0,878.90625,880.0
800.78125,800.78125,800.0
792.96875,792.96875,790.0
824.21875,820.3125,830.0
832.03125,828.125,810.0
816.40625,820.3125,810.0
871.09375,863.28125,880.0
867.1875,875.0,880.0
816.40625,816.40625,800.0
847.65625,847.65625,850.0
863.28125,867.1875,880.0
867.1875,863.28125,760.0
812.5,812.5,1720.0
843.75,843.75,830.0
828.125,828.125,750.0
769.53125,769.53125,840.0
781.25,781.25,780.0
824.21875,820.3125,890.0
855.46875,855.46875,810.0
812.5,812.5,840.0
847.65625,847.65625,860.0
859.375,863.28125,870.0
886.71875,886.71875,830.0
828.125,832.03125,790.0
777.34375,777.34375,740.0
750.0,750.0,770.0
761.71875,757.8125,730.0
746.09375,742.1875,720.0
703.125,699.21875,670.0
691.40625,691.40625,710.0
710.9375,707.03125,740.0
726.5625,726.5625,760.0
781.25,773.4375,810.0
808.59375,812.5,810.0
808.59375,812.5,790.0
781.25,789.0625,780.0
781.25,777.34375,810.0
804.6875,804.6875,800.0
808.59375,808.59375,800.0
792.96875,792.96875,790.0
816.40625,816.40625,840.0
800.78125,808.59375,760.0
781.25,777.34375,780.0
773.4375,777.34375,800.0
804.6875,796.875,810.0
812.5,812.5,780.0
773.4375,773.4375,750.0
765.625,765.625,820.0
816.40625,816.40625,870.0
863.28125,859.375,920.0
910.15625,910.15625,820.0
843.75,851.5625,880.0
878.90625,875.0,870.0
851.5625,859.375,790.0
789.0625,789.0625,780.0
792.96875,792.96875,800.0
804.6875,796.875,780.0
785.15625,785.15625,800.0
808.59375,812.5,790.0
777.34375,777.34375,790.0
816.40625,816.40625,840.0
835.9375,835.9375,900.0
882.8125,878.90625,890.0
890.625,898.4375,840.0
824.21875,828.125,840.0
847.65625,847.65625,830.0
863.28125,859.375,810.0
878.90625,882.8125,920.0
828.125,824.21875,750.0
769.53125,765.625,790.0
777.34375,777.34375,800.0
773.4375,773.4375,740.0
757.8125,757.8125,730.0
714.84375,710.9375,710.0
722.65625,722.65625,740.0
750.0,746.09375,740.0
753.90625,750.0,810.0
808.59375,812.5,830.0
847.65625,847.65625,910.0
878.90625,882.8125,830.0
839.84375,843.75,880.0
890.625,894.53125,920.0
906.25,902.34375,920.0
906.25,914.0625,790.0
843.75,839.84375,930.0
851.5625,855.46875,1790.0
859.375,863.28125,810.0
890.625,882.8125,820.0
886.71875,890.625,840.0
855.46875,859.375,790.0
808.59375,808.59375,850.0
800.78125,800.78125,940.0
867.1875,863.28125,950.0
917.96875,917.96875,920.0
953.125,949.21875,930.0
910.15625,917.96875,930.0
937.5,937.5,910.0
953.125,949.21875,970.0
906.25,910.15625,920.0
945.3125,941.40625,860.0
914.0625,917.96875,910.0
