RRI_inf,PPI_inf,PPI_pix
929.6875,929.6875,930.0
945.3125,945.3125,930.0
902.34375,902.34375,920.0
941.40625,933.59375,930.0
953.125,957.03125,960.0
890.625,890.625,880.0
894.53125,898.4375,890.0
910.15625,906.25,630.0
890.625,890.625,1170.0
894.53125,894.53125,900.0
953.125,949.21875,940.0
964.84375,964.84375,940.0
964.84375,960.9375,980.0
976.5625,984.375,990.0
925.78125,929.6875,930.0
867.1875,871.09375,840.0
894.53125,890.625,920.0
906.25,910.15625,900.0
886.71875,882.8125,920.0
890.625,894.53125,860.0
902.34375,898.4375,910.0
906.25,902.34375,900.0
917.96875,921.875,910.0
960.9375,960.9375,970.0
980.46875,980.46875,970.0
925.78125,925.78125,930.0
937.5,941.40625,930.0
933.59375,929.6875,930.0
863.28125,863.28125,870.0
886.71875,882.8125,880.0
875.0,875.0,870.0
875.0,871.09375,870.0
875.0,875.0,860.0
906.25,906.25,920.0
953.125,953.125,970.0
929.6875,933.59375,910.0
941.40625,949.21875,940.0
933.59375,925.78125,940.0
906.25,910.15625,910.0
894.53125,894.53125,890.0
906.25,910.15625,900.0
898.4375,890.625,900.0
871.09375,871.09375,860.0
906.25,906.25,920.0
925.78125,925.78125,920.0
855.46875,855.46875,860.0
886.71875,882.8125,880.0
886.71875,890.625,880.0
875.0,871.09375,870.0
871.09375,875.0,880.0
890.625,882.8125,870.0
875.0,878.90625,900.0
843.75,843.75,830.0
855.46875,851.5625,860.0
863.28125,871.09375,850.0
867.1875,863.28125,870.0
812.5,816.40625,790.0
777.34375,773.4375,830.0
718.75,718.75,1950.0
734.375,730.46875,700.0
816.40625,808.59375,1410.0
878.90625,867.1875,1460.0
886.71875,886.71875,1050.0
890.625,890.625,860.0
851.5625,847.65625,900.0
859.375,867.1875,790.0
863.28125,863.28125,740.0
859.375,863.28125,700.0
789.0625,800.78125,690.0
738.28125,738.28125,770.0
714.84375,707.03125,840.0
710.9375,703.125,860.0
761.71875,765.625,870.0
839.84375,843.75,880.0
875.0,878.90625,890.0
859.375,859.375,880.0
871.09375,875.0,800.0
886.71875,886.71875,910.0
886.71875,890.625,890.0
847.65625,851.5625,890.0
863.28125,855.46875,870.0
875.0,882.8125,840.0
906.25,898.4375,860.0
863.28125,867.1875,900.0
847.65625,847.65625,860.0
871.09375,867.1875,890.0
886.71875,890.625,920.0
863.28125,867.1875,920.0
898.4375,902.34375,890.0
921.875,925.78125,920.0
914.0625,914.0625,940.0
894.53125,894.53125,840.0
921.875,925.78125,880.0
921.875,914.0625,880.0
863.28125,863.28125,840.0
871.09375,867.1875,860.0
882.8125,882.8125,890.0
839.84375,843.75,840.0
855.46875,851.5625,800.0
871.09375,871.09375,860.0
863.28125,867.1875,840.0
816.40625,812.5,880.0
843.75,843.75,820.0
863.28125,867.1875,870.0
863.28125,863.28125,900.0
824.21875,832.03125,820.0
875.0,867.1875,890.0
875.0,875.0,920.0
851.5625,847.65625,870.0
886.71875,894.53125,810.0
914.0625,906.25,820.0
867.1875,871.09375,860.0
808.59375,808.59375,870.0
832.03125,832.03125,810.0
859.375,855.46875,810.0
871.09375,871.09375,810.0
816.40625,816.40625,830.0
808.59375,812.5,780.0
812.5,808.59375,840.0
820.3125,820.3125,840.0
785.15625,785.15625,960.0
828.125,824.21875,870.0
867.1875,871.09375,950.0
941.40625,937.5,960.0
898.4375,902.34375,900.0
925.78125,929.6875,900.0
957.03125,957.03125,960.0
