RRI_inf,PPI_inf,PPI_pix
820.3125,824.21875,840.0
847.65625,835.9375,820.0
832.03125,839.84375,830.0
792.96875,792.96875,860.0
750.0,746.09375,790.0
746.09375,750.0,710.0
785.15625,781.25,790.0
796.875,800.78125,790.0
859.375,855.46875,750.0
839.84375,839.84375,840.0
835.9375,839.84375,880.0
871.09375,875.0,830.0
886.71875,882.8125,890.0
878.90625,882.8125,870.0
855.46875,855.46875,900.0
890.625,886.71875,830.0
878.90625,878.90625,880.0
882.8125,886.71875,900.0
800.78125,808.59375,890.0
742.1875,738.28125,800.0
726.5625,722.65625,730.0
761.71875,750.0,740.0
859.375,847.65625,720.0
957.03125,964.84375,860.0
996.09375,992.1875,970.0
917.96875,917.96875,990.0
863.28125,867.1875,700.0
894.53125,910.15625,1260.0
878.90625,863.28125,750.0
863.28125,863.28125,840.0
878.90625,878.90625,870.0
871.09375,871.09375,870.0
824.21875,828.125,850.0
808.59375,808.59375,850.0
820.3125,820.3125,800.0
808.59375,812.5,780.0
757.8125,765.625,840.0
750.0,738.28125,780.0
804.6875,804.6875,730.0
832.03125,839.84375,810.0
804.6875,804.6875,840.0
832.03125,824.21875,790.0
867.1875,867.1875,840.0
855.46875,859.375,890.0
808.59375,812.5,820.0
792.96875,792.96875,830.0
808.59375,800.78125,790.0
812.5,816.40625,790.0
839.84375,839.84375,810.0
890.625,890.625,840.0
902.34375,898.4375,890.0
894.53125,898.4375,910.0
894.53125,890.625,900.0
878.90625,886.71875,890.0
804.6875,804.6875,900.0
812.5,812.5,750.0
824.21875,824.21875,850.0
812.5,808.59375,810.0
835.9375,835.9375,810.0
867.1875,867.1875,840.0
898.4375,902.34375,1380.0
886.71875,878.90625,1300.0
835.9375,843.75,790.0
800.78125,796.875,790.0
773.4375,773.4375,810.0
792.96875,785.15625,770.0
820.3125,824.21875,830.0
804.6875,808.59375,780.0
839.84375,835.9375,830.0
863.28125,867.1875,910.0
882.8125,878.90625,840.0
882.8125,890.625,900.0
828.125,828.125,820.0
867.1875,863.28125,870.0
886.71875,886.71875,890.0
871.09375,875.0,820.0
816.40625,812.5,910.0
839.84375,835.9375,780.0
855.46875,859.375,870.0
878.90625,878.90625,860.0
847.65625,843.75,870.0
863.28125,867.1875,800.0
859.375,859.375,920.0
859.375,859.375,880.0
871.09375,871.09375,840.0
875.0,875.0,880.0
824.21875,824.21875,810.0
808.59375,812.5,820.0
832.03125,832.03125,830.0
867.1875,867.1875,870.0
867.1875,867.1875,860.0
816.40625,816.40625,800.0
824.21875,824.21875,850.0
808.59375,804.6875,780.0
808.59375,808.59375,870.0
785.15625,789.0625,690.0
773.4375,769.53125,1870.0
796.875,800.78125,860.0
796.875,792.96875,1230.0
812.5,804.6875,1280.0
820.3125,835.9375,1220.0
812.5,812.5,770.0
808.59375,796.875,770.0
789.0625,789.0625,800.0
753.90625,753.90625,820.0
777.34375,773.4375,850.0
808.59375,808.59375,790.0
824.21875,828.125,850.0
839.84375,847.65625,860.0
816.40625,816.40625,910.0
839.84375,839.84375,900.0
871.09375,875.0,890.0
910.15625,910.15625,890.0
890.625,890.625,880.0
882.8125,882.8125,860.0
890.625,890.625,870.0
894.53125,894.53125,840.0
859.375,859.375,880.0
871.09375,875.0,840.0
855.46875,851.5625,860.0
871.09375,875.0,780.0
835.9375,832.03125,780.0
855.46875,851.5625,830.0
792.96875,796.875,840.0
792.96875,785.15625,820.0
824.21875,828.125,840.0
843.75,843.75,840.0
800.78125,804.6875,860.0
855.46875,851.5625,810.0
859.375,863.28125,830.0
851.5625,855.46875,870.0
792.96875,789.0625,890.0
