valley_location,PPI
47.0,0.0
140.0,930.0
233.0,930.0
325.0,920.0
418.0,930.0
514.0,960.0
602.0,880.0
691.0,890.0
754.0,630.0
871.0,1170.0
961.0,900.0
1055.0,940.0
1149.0,940.0
1247.0,980.0
1346.0,990.0
1439.0,930.0
1523.0,840.0
1615.0,920.0
1705.0,900.0
1797.0,920.0
1883.0,860.0
1974.0,910.0
2064.0,900.0
2155.0,910.0
2252.0,970.0
2349.0,970.0
2442.0,930.0
2535.0,930.0
2628.0,930.0
2715.0,870.0
2803.0,880.0
2890.0,870.0
2977.0,870.0
3063.0,860.0
3155.0,920.0
3252.0,970.0
3343.0,910.0
3437.0,940.0
3531.0,940.0
3622.0,910.0
3711.0,890.0
3801.0,900.0
3891.0,900.0
3977.0,860.0
4069.0,920.0
4161.0,920.0
4247.0,860.0
4335.0,880.0
4423.0,880.0
4510.0,870.0
4598.0,880.0
4685.0,870.0
4775.0,900.0
4858.0,830.0
4944.0,860.0
5029.0,850.0
5116.0,870.0
5195.0,790.0
5278.0,830.0
5473.0,1950.0
5543.0,700.0
5684.0,1410.0
5830.0,1460.0
5935.0,1050.0
6021.0,860.0
6111.0,900.0
6190.0,790.0
6264.0,740.0
6334.0,700.0
6403.0,690.0
6480.0,770.0
6564.0,840.0
6650.0,860.0
6737.0,870.0
6825.0,880.0
6914.0,890.0
7002.0,880.0
7082.0,800.0
7173.0,910.0
7262.0,890.0
7351.0,890.0
7438.0,870.0
7522.0,840.0
7608.0,860.0
7698.0,900.0
7784.0,860.0
7873.0,890.0
7965.0,920.0
8057.0,920.0
8146.0,890.0
8238.0,920.0
8332.0,940.0
8416.0,840.0
8504.0,880.0
8592.0,880.0
8676.0,840.0
8762.0,860.0
8851.0,890.0
8935.0,840.0
9015.0,800.0
9101.0,860.0
9185.0,840.0
9273.0,880.0
9355.0,820.0
9442.0,870.0
9532.0,900.0
9614.0,820.0
9703.0,890.0
9795.0,920.0
9882.0,870.0
9963.0,810.0
10045.0,820.0
10131.0,860.0
10218.0,870.0
10299.0,810.0
10380.0,810.0
10461.0,810.0
10544.0,830.0
10622.0,780.0
10706.0,840.0
10790.0,840.0
10886.0,960.0
10973.0,870.0
11068.0,950.0
11164.0,960.0
11254.0,900.0
11344.0,900.0
11440.0,960.0
