RRI_inf,PPI_inf,PPI_pix
871.09375,875.0,900.0
839.84375,832.03125,830.0
847.65625,851.5625,860.0
863.28125,859.375,860.0
828.125,832.03125,840.0
820.3125,820.3125,810.0
824.21875,820.3125,810.0
800.78125,808.59375,800.0
761.71875,753.90625,760.0
789.0625,792.96875,800.0
812.5,808.59375,790.0
828.125,824.21875,790.0
859.375,863.28125,910.0
859.375,859.375,860.0
816.40625,816.40625,810.0
777.34375,773.4375,790.0
785.15625,781.25,770.0
820.3125,824.21875,810.0
800.78125,800.78125,820.0
796.875,792.96875,790.0
808.59375,808.59375,800.0
800.78125,804.6875,790.0
773.4375,773.4375,790.0
750.0,750.0,740.0
750.0,742.1875,750.0
757.8125,753.90625,760.0
734.375,738.28125,730.0
734.375,730.46875,740.0
757.8125,757.8125,740.0
777.34375,777.34375,760.0
804.6875,800.78125,810.0
796.875,796.875,820.0
832.03125,835.9375,820.0
832.03125,839.84375,850.0
800.78125,804.6875,800.0
839.84375,847.65625,830.0
824.21875,820.3125,820.0
792.96875,789.0625,810.0
765.625,765.625,760.0
804.6875,808.59375,800.0
839.84375,835.9375,830.0
863.28125,863.28125,870.0
859.375,863.28125,860.0
863.28125,867.1875,860.0
863.28125,859.375,870.0
820.3125,820.3125,820.0
839.84375,843.75,830.0
828.125,824.21875,840.0
820.3125,820.3125,790.0
839.84375,843.75,870.0
855.46875,851.5625,820.0
820.3125,820.3125,840.0
796.875,796.875,800.0
824.21875,828.125,810.0
828.125,820.3125,840.0
796.875,792.96875,760.0
769.53125,765.625,1110.0
796.875,796.875,1290.0
820.3125,820.3125,820.0
828.125,832.03125,780.0
792.96875,800.78125,840.0
804.6875,800.78125,790.0
796.875,800.78125,780.0
777.34375,785.15625,810.0
820.3125,808.59375,840.0
835.9375,832.03125,840.0
843.75,843.75,860.0
867.1875,875.0,930.0
921.875,917.96875,920.0
917.96875,929.6875,880.0
886.71875,882.8125,900.0
890.625,894.53125,910.0
902.34375,902.34375,850.0
851.5625,851.5625,840.0
851.5625,851.5625,840.0
863.28125,859.375,880.0
851.5625,847.65625,1670.0
824.21875,824.21875,880.0
851.5625,847.65625,890.0
890.625,894.53125,870.0
898.4375,902.34375,780.0
851.5625,847.65625,1020.0
878.90625,878.90625,890.0
890.625,894.53125,1240.0
906.25,914.0625,1390.0
871.09375,863.28125,870.0
878.90625,882.8125,890.0
894.53125,894.53125,880.0
882.8125,882.8125,890.0
898.4375,906.25,810.0
886.71875,878.90625,850.0
859.375,863.28125,830.0
828.125,828.125,800.0
851.5625,847.65625,760.0
824.21875,824.21875,750.0
792.96875,789.0625,800.0
761.71875,761.71875,810.0
757.8125,753.90625,750.0
800.78125,804.6875,950.0
812.5,808.59375,890.0
816.40625,816.40625,910.0
875.0,875.0,890.0
914.0625,917.96875,930.0
886.71875,886.71875,940.0
902.34375,902.34375,910.0
937.5,937.5,930.0
929.6875,933.59375,940.0
906.25,906.25,910.0
929.6875,929.6875,940.0
945.3125,945.3125,950.0
902.34375,902.34375,910.0
941.40625,933.59375,860.0
953.125,957.03125,650.0
890.625,890.625,1140.0
894.53125,898.4375,920.0
910.15625,906.25,930.0
890.625,890.625,960.0
894.53125,894.53125,990.0
953.125,949.21875,950.0
964.84375,964.84375,920.0
964.84375,960.9375,860.0
976.5625,984.375,920.0
925.78125,929.6875,900.0
867.1875,871.09375,920.0
894.53125,890.625,860.0
906.25,910.15625,910.0
886.71875,882.8125,890.0
890.625,894.53125,920.0
902.34375,898.4375,960.0
906.25,902.34375,980.0
917.96875,921.875,930.0
