Trial 1:0back,Trial 2:2back,Trial 3:3back,Trial 4:2back,Trial 5:3back,Trial 6:0back
-1648833.0,-1605883.0,-1591343.0,-1606785.0,-1549441.0,-1509403.0
-1648625.0,-1605925.0,-1590631.0,-1606051.0,-1549775.0,-1509129.0
-1649189.0,-1605799.0,-1590715.0,-1605549.0,-1549733.0,-1508815.0
-1649189.0,-1606429.0,-1591427.0,-1605715.0,-1550257.0,-1508815.0
-1648771.0,-1606345.0,-1590799.0,-1605715.0,-1549755.0,-1508857.0
-1648687.0,-1606491.0,-1590359.0,-1605757.0,-1550047.0,-1508647.0
-1649567.0,-1606009.0,-1590757.0,-1605213.0,-1550823.0,-1508585.0
-1649483.0,-1607077.0,-1590443.0,-1604165.0,-1550635.0,-1508711.0
-1649547.0,-1606407.0,-1589919.0,-1604647.0,-1551159.0,-1509109.0
-1650007.0,-1606093.0,-1590337.0,-1604961.0,-1550593.0,-1509109.0
-1650343.0,-1606429.0,-1590443.0,-1604333.0,-1551117.0,-1508773.0
-1649819.0,-1606491.0,-1589605.0,-1603997.0,-1550383.0,-1508481.0
-1649315.0,-1607035.0,-1590191.0,-1604313.0,-1550445.0,-1509109.0
-1650029.0,-1606617.0,-1590191.0,-1605067.0,-1550363.0,-1508669.0
-1649735.0,-1606993.0,-1590211.0,-1604123.0,-1550321.0,-1509087.0
-1650029.0,-1607351.0,-1590359.0,-1604271.0,-1550237.0,-1508125.0
-1650615.0,-1606827.0,-1589771.0,-1604941.0,-1550131.0,-1508459.0
-1650719.0,-1607789.0,-1589813.0,-1604123.0,-1549943.0,-1509129.0
-1650825.0,-1608021.0,-1589667.0,-1604019.0,-1549649.0,-1508899.0
-1651747.0,-1607853.0,-1589897.0,-1604207.0,-1549881.0,-1508375.0
-1651389.0,-1607267.0,-1589415.0,-1604313.0,-1549335.0,-1509129.0
-1650593.0,-1607413.0,-1590045.0,-1604333.0,-1549189.0,-1509485.0
-1652207.0,-1607623.0,-1590107.0,-1605151.0,-1548917.0,-1509047.0
-1651683.0,-1607623.0,-1590003.0,-1604585.0,-1549251.0,-1508899.0
-1651431.0,-1608669.0,-1590149.0,-1604123.0,-1549001.0,-1508229.0
-1652249.0,-1608293.0,-1589521.0,-1604877.0,-1548455.0,-1509297.0
-1651641.0,-1608167.0,-1589647.0,-1604563.0,-1548497.0,-1509151.0
-1651327.0,-1608041.0,-1589751.0,-1604731.0,-1548707.0,-1508941.0
-1652709.0,-1609027.0,-1589981.0,-1604081.0,-1549001.0,-1508921.0
-1652291.0,-1608481.0,-1588493.0,-1604731.0,-1548687.0,-1508963.0
