valley_location,PPI
13.0,0.0
79.0,660.0
140.0,610.0
202.0,620.0
267.0,650.0
335.0,680.0
399.0,640.0
463.0,640.0
528.0,650.0
595.0,670.0
658.0,630.0
722.0,640.0
788.0,660.0
851.0,630.0
913.0,620.0
975.0,620.0
1040.0,650.0
1102.0,620.0
1167.0,650.0
1233.0,660.0
1297.0,640.0
1361.0,640.0
1428.0,670.0
1494.0,660.0
1560.0,660.0
1629.0,690.0
1694.0,650.0
1762.0,680.0
1830.0,680.0
1898.0,680.0
1963.0,650.0
2030.0,670.0
2096.0,660.0
2161.0,650.0
2228.0,670.0
2294.0,660.0
2360.0,660.0
2426.0,660.0
2495.0,690.0
2560.0,650.0
2626.0,660.0
2693.0,670.0
2759.0,660.0
2826.0,670.0
2893.0,670.0
2958.0,650.0
3025.0,670.0
3094.0,690.0
3161.0,670.0
3226.0,650.0
3293.0,670.0
3360.0,670.0
3426.0,660.0
3492.0,660.0
3559.0,670.0
3626.0,670.0
3690.0,640.0
3756.0,660.0
3823.0,670.0
3888.0,650.0
3952.0,640.0
4018.0,660.0
4084.0,660.0
4149.0,650.0
4214.0,650.0
4281.0,670.0
4347.0,660.0
4412.0,650.0
4476.0,640.0
4544.0,680.0
4608.0,640.0
4671.0,630.0
4735.0,640.0
4801.0,660.0
4863.0,620.0
4928.0,650.0
4992.0,640.0
5057.0,650.0
5120.0,630.0
5186.0,660.0
5251.0,650.0
5315.0,640.0
5380.0,650.0
5446.0,660.0
5509.0,630.0
5570.0,610.0
5628.0,580.0
5686.0,580.0
5744.0,580.0
5799.0,550.0
5857.0,580.0
5918.0,610.0
5978.0,600.0
6037.0,590.0
6102.0,650.0
6166.0,640.0
6227.0,610.0
6289.0,620.0
6353.0,640.0
6418.0,650.0
6481.0,630.0
6546.0,650.0
6613.0,670.0
6682.0,690.0
6747.0,650.0
6812.0,650.0
6880.0,680.0
6947.0,670.0
7011.0,640.0
7075.0,640.0
7138.0,630.0
7201.0,630.0
7260.0,590.0
7317.0,570.0
7372.0,550.0
7428.0,560.0
7493.0,650.0
7569.0,760.0
7641.0,720.0
7715.0,740.0
7787.0,720.0
7855.0,680.0
7919.0,640.0
7988.0,690.0
8051.0,630.0
8114.0,630.0
8178.0,640.0
8244.0,660.0
8306.0,620.0
8369.0,630.0
8433.0,640.0
8497.0,640.0
8561.0,640.0
8623.0,620.0
8684.0,610.0
8745.0,610.0
8809.0,640.0
8868.0,590.0
8928.0,600.0
8988.0,600.0
9046.0,580.0
9106.0,600.0
9165.0,590.0
9224.0,590.0
9285.0,610.0
9345.0,600.0
9405.0,600.0
9467.0,620.0
9526.0,590.0
9584.0,580.0
9639.0,550.0
9693.0,540.0
9747.0,540.0
9800.0,530.0
9853.0,530.0
9904.0,510.0
9958.0,540.0
10011.0,530.0
10070.0,590.0
10132.0,620.0
10194.0,620.0
10252.0,580.0
10312.0,600.0
10373.0,610.0
10429.0,560.0
10486.0,570.0
10543.0,570.0
10605.0,620.0
10663.0,580.0
10720.0,570.0
10771.0,510.0
10835.0,640.0
10896.0,610.0
10955.0,590.0
11013.0,580.0
11072.0,590.0
11128.0,560.0
11190.0,620.0
11253.0,630.0
11311.0,580.0
11370.0,590.0
11432.0,620.0
