Trial 1:0back,Trial 2:2back,Trial 3:3back,Trial 4:2back,Trial 5:3back,Trial 6:0back
33.146,33.47,41.273,35.646,32.881,36.478
33.68,33.39,42.11,35.644,32.834,36.516999999999996
34.298,33.31,42.897,35.632,32.792,36.539
34.994,33.231,43.618,35.61,32.751999999999995,36.545
35.759,33.153,44.263999999999996,35.577,32.714,36.535
36.580999999999996,33.076,44.825,35.534,32.678000000000004,36.512
37.446,33.0,45.29600000000001,35.481,32.644,36.476
38.336,32.926,45.674,35.42,32.611999999999995,36.429
39.23,32.854,45.961000000000006,35.352,32.583,36.37
40.11,32.784,46.157,35.278,32.556,36.3
40.955999999999996,32.716,46.266999999999996,35.201,32.533,36.219
41.75,32.65,46.297,35.119,32.514,36.126999999999995
42.479,32.586999999999996,46.255,35.036,32.496,36.027
43.13,32.525999999999996,46.148999999999994,34.95,32.482,35.918
43.695,32.467,45.986999999999995,34.861999999999995,32.469,35.802
44.167,32.409,45.778,34.773,32.459,35.681999999999995
44.545,32.355,45.533,34.683,32.452,35.558
44.828,32.304,45.25899999999999,34.591,32.446,35.431
45.021,32.255,44.966,34.5,32.443000000000005,35.301
45.128,32.21,44.66,34.409,32.44,35.169000000000004
45.158,32.167,44.347,34.318000000000005,32.438,35.036
45.117,32.128,44.033,34.228,32.434,34.902
45.015,32.092,43.72,34.138000000000005,32.429,34.769
44.861000000000004,32.058,43.412,34.048,32.421,34.635
44.663999999999994,32.025999999999996,43.108999999999995,33.957,32.412,34.503
44.431000000000004,31.996,42.81100000000001,33.866,32.400999999999996,34.373000000000005
44.17,31.969,42.52,33.775,32.388000000000005,34.245
43.887,31.943,42.233999999999995,33.684,32.375,34.12
43.588,31.919,41.952,33.595,32.361,33.998000000000005
43.278999999999996,31.895,41.674,33.505,32.347,33.88
42.961999999999996,31.873,41.398999999999994,33.414,32.333,33.765
42.643,31.853,41.126999999999995,33.321999999999996,32.319,33.654
42.323,31.834,40.856,33.229,32.306999999999995,33.546
42.004,31.816,40.585,33.135999999999996,32.298,33.441
41.687,31.8,40.315,33.042,32.293,33.339
41.372,31.785,40.044000000000004,32.95,32.295,33.239000000000004
41.06,31.771,39.774,32.859,32.306999999999995,33.141999999999996
40.751,31.759,39.504,32.772,32.332,33.046
40.445,31.749000000000002,39.235,32.686,32.375,32.95
40.141999999999996,31.741,38.968,32.602,32.441,32.856
39.841,31.736,38.704,32.52,32.537,32.763000000000005
39.542,31.734,38.442,32.44,32.668,32.673
39.247,31.734,38.184,32.361,32.841,32.586999999999996
38.955,31.736,37.93,32.283,33.062,32.505
