Trial 3:3back,Trial 5:3back
6.786,6.524
6.785,6.523
6.785,6.524
6.785,6.524
6.785,6.523
6.784,6.523
6.784,6.523
6.784,6.523
6.784,6.523
6.783,6.523
6.783,6.522
6.783,6.522
6.783,6.522
6.783,6.522
6.782,6.522
6.782,6.522
6.782,6.522
6.782,6.522
6.781,6.522
6.781,6.522
6.781,6.521
6.781,6.521
6.78,6.521
6.78,6.521
6.779,6.521
6.78,6.521
6.779,6.521
6.779,6.521
6.779,6.521
6.779,6.52
6.778,6.52
6.778,6.52
6.777,6.52
6.777,6.52
6.777,6.52
6.777,6.52
6.776,6.52
6.776,6.52
6.776,6.52
6.776,6.519
6.775,6.519
6.775,6.519
6.775,6.519
6.775,6.519
6.774,6.519
6.774,6.519
6.774,6.519
6.774,6.519
6.773,6.518
6.773,6.518
6.773,6.518
6.773,6.518
6.772,6.518
6.772,6.518
6.772,6.518
6.771,6.518
6.771,6.518
6.77,6.518
6.77,6.518
6.77,6.518
6.77,6.518
6.77,6.518
6.769,6.518
6.769,6.518
6.769,6.518
6.769,6.518
6.768,6.518
6.768,6.518
6.768,6.518
6.768,6.518
6.767,6.518
6.767,6.518
6.767,6.518
6.767,6.518
6.766,6.518
6.766,6.518
6.766,6.518
6.766,6.518
6.765,6.518
6.765,6.518
6.765,6.518
6.765,6.518
6.764,6.518
6.764,6.518
6.764,6.518
6.764,6.518
6.763,6.518
6.763,6.518
6.762,6.518
6.762,6.519
6.762,6.519
6.762,6.519
6.761,6.519
6.761,6.519
6.761,6.519
6.76,6.519
6.76,6.519
6.76,6.52
6.76,6.52
6.759,6.52
6.759,6.52
6.759,6.52
6.759,6.52
6.758,6.521
6.758,6.521
6.758,6.521
6.758,6.521
6.757,6.522
6.757,6.522
6.756,6.522
6.756,6.523
6.756,6.523
6.756,6.523
6.755,6.524
6.755,6.524
6.755,6.524
6.754,6.525
6.754,6.525
6.754,6.525
6.754,6.525
6.753,6.526
6.753,6.526
6.752,6.527
6.752,6.527
6.752,6.527
6.751,6.528
6.751,6.528
6.751,6.529
6.751,6.529
6.75,6.53
6.75,6.53
6.75,6.531
6.75,6.531
6.749,6.532
6.749,6.532
6.748,6.533
6.748,6.533
6.748,6.534
6.747,6.534
6.747,6.535
6.747,6.536
6.747,6.536
6.746,6.537
6.746,6.538
6.746,6.539
6.745,6.539
6.745,6.54
6.744,6.54
6.744,6.541
6.744,6.542
6.744,6.543
6.743,6.543
6.743,6.544
6.743,6.545
6.742,6.546
6.742,6.547
6.741,6.548
6.741,6.549
6.741,6.55
6.741,6.55
6.74,6.552
6.74,6.553
6.74,6.554
6.739,6.555
6.739,6.556
6.739,6.557
6.739,6.558
6.738,6.559
6.738,6.56
6.737,6.562
6.737,6.563
6.737,6.564
6.737,6.565
6.736,6.566
6.736,6.567
6.736,6.568
6.736,6.569
6.735,6.571
6.735,6.572
6.735,6.573
6.735,6.574
6.734,6.576
6.734,6.577
6.734,6.579
6.734,6.58
6.733,6.581
6.733,6.583
6.733,6.584
6.733,6.586
6.732,6.587
6.732,6.589
6.732,6.59
6.732,6.592
6.732,6.593
6.731,6.595
6.731,6.597
6.731,6.598
6.731,6.6
6.731,6.602
6.731,6.603
6.731,6.605
6.73,6.607
6.73,6.609
6.73,6.61
6.73,6.612
6.73,6.614
6.73,6.616
6.73,6.618
6.73,6.62
6.73,6.622
6.73,6.624
6.729,6.626
6.729,6.628
6.73,6.629
6.729,6.631
6.729,6.634
6.729,6.636
6.73,6.638
6.73,6.64
6.73,6.642
6.73,6.644
6.73,6.646
6.73,6.649
6.73,6.651
6.73,6.653
6.73,6.655
6.73,6.658
6.73,6.66
6.73,6.662
6.731,6.665
6.731,6.667
6.731,6.669
6.731,6.672
6.731,6.674
6.731,6.676
6.732,6.679
6.732,6.681
6.732,6.684
6.732,6.686
6.733,6.689
6.733,6.692
6.733,6.694
6.733,6.697
6.734,6.7
6.734,6.702
6.735,6.705
6.735,6.708
6.735,6.711
6.736,6.713
6.736,6.716
6.737,6.719
6.737,6.722
6.738,6.724
6.738,6.727
6.738,6.73
6.739,6.733
6.739,6.736
6.74,6.739
6.74,6.742
6.741,6.745
6.742,6.748
6.742,6.751
6.743,6.754
6.743,6.757
6.744,6.76
6.745,6.763
6.745,6.766
6.746,6.769
6.747,6.772
6.747,6.776
6.748,6.779
6.749,6.782
6.749,6.785
6.751,6.789
6.751,6.792
6.752,6.795
6.753,6.798
6.754,6.802
6.754,6.805
6.755,6.808
6.756,6.812
6.757,6.815
6.758,6.818
6.759,6.822
6.76,6.825
6.761,6.828
6.762,6.832
6.763,6.835
6.764,6.839
6.765,6.842
6.766,6.846
6.767,6.849
6.768,6.853
6.769,6.856
6.771,6.86
6.772,6.863
6.773,6.867
6.774,6.87
6.775,6.874
6.776,6.878
6.778,6.881
6.779,6.885
6.78,6.889
6.782,6.892
6.783,6.896
6.784,6.9
6.785,6.903
6.787,6.907
6.788,6.911
6.789,6.914
6.79,6.918
6.792,6.922
6.793,6.926
6.795,6.929
6.796,6.933
6.798,6.937
6.799,6.941
6.8,6.945
6.802,6.948
6.803,6.952
6.805,6.956
6.807,6.96
6.808,6.964
6.809,6.968
6.811,6.971
6.813,6.975
6.814,6.979
6.816,6.983
6.817,6.987
6.819,6.991
6.821,6.995
6.822,6.998
6.824,7.002
6.826,7.006
6.827,7.01
6.829,7.014
6.831,7.017
6.832,7.021
6.834,7.025
6.836,7.029
6.837,7.033
6.839,7.037
6.841,7.04
6.843,7.044
6.845,7.048
6.847,7.052
6.849,7.056
6.85,7.06
6.852,7.064
6.854,7.068
6.856,7.072
6.858,7.075
6.859,7.079
6.861,7.083
6.863,7.087
6.865,7.091
6.867,7.095
6.869,7.099
6.871,7.103
6.872,7.107
6.874,7.11
6.876,7.114
6.878,7.118
6.88,7.122
6.882,7.126
6.884,7.13
6.886,7.134
6.888,7.138
6.889,7.141
6.891,7.145
6.893,7.149
6.896,7.153
6.898,7.157
6.899,7.161
6.902,7.165
6.904,7.168
6.906,7.172
6.907,7.176
6.909,7.18
6.911,7.183
6.913,7.187
6.915,7.191
6.917,7.195
6.919,7.199
6.921,7.202
6.923,7.206
6.925,7.21
6.927,7.213
6.929,7.217
6.931,7.221
6.933,7.225
6.935,7.229
6.937,7.232
6.939,7.236
6.941,7.24
6.943,7.243
6.945,7.247
6.947,7.251
6.949,7.254
6.951,7.258
6.953,7.262
6.955,7.265
6.957,7.269
6.959,7.272
6.961,7.276
6.963,7.28
6.965,7.283
6.967,7.287
6.969,7.291
6.971,7.294
6.973,7.298
6.975,7.301
6.977,7.305
6.979,7.308
6.981,7.312
6.983,7.315
6.984,7.319
6.986,7.322
6.988,7.326
6.99,7.329
6.992,7.333
6.994,7.336
6.996,7.34
6.998,7.343
7,7.346
7.001,7.35
7.003,7.353
7.006,7.356
7.007,7.36
7.009,7.363
7.011,7.367
7.013,7.37
7.015,7.373
7.016,7.377
7.018,7.38
7.02,7.384
7.022,7.387
7.024,7.39
7.025,7.394
7.027,7.397
7.029,7.4
7.031,7.403
7.032,7.406
7.034,7.41
7.036,7.413
7.038,7.416
7.04,7.419
7.041,7.422
7.043,7.425
7.045,7.429
7.047,7.432
7.048,7.435
7.05,7.438
7.052,7.441
7.054,7.444
7.055,7.447
7.057,7.45
7.059,7.453
7.061,7.456
7.062,7.459
7.064,7.462
7.065,7.465
7.067,7.468
7.069,7.471
7.07,7.474
7.072,7.477
7.074,7.48
7.075,7.482
7.077,7.485
7.078,7.488
7.08,7.491
7.081,7.494
7.083,7.497
7.084,7.499
7.086,7.502
7.087,7.505
7.089,7.508
7.09,7.51
7.092,7.513
7.093,7.515
7.095,7.518
7.096,7.521
7.098,7.523
7.099,7.526
7.101,7.528
7.102,7.531
7.103,7.533
7.104,7.536
7.106,7.538
7.107,7.541
7.108,7.543
7.11,7.546
7.111,7.548
7.112,7.551
7.114,7.553
7.115,7.556
7.116,7.558
7.117,7.56
7.119,7.563
7.12,7.565
7.121,7.567
7.122,7.57
7.123,7.572
7.125,7.574
7.126,7.577
7.127,7.579
7.128,7.581
7.13,7.584
7.131,7.586
7.132,7.588
7.133,7.59
7.134,7.592
7.135,7.594
7.136,7.597
7.137,7.599
7.138,7.601
7.14,7.603
7.141,7.605
7.142,7.607
7.143,7.609
7.144,7.611
7.145,7.613
7.146,7.615
7.146,7.617
7.148,7.619
7.149,7.621
7.15,7.622
7.151,7.624
7.152,7.626
7.153,7.628
7.153,7.63
7.154,7.632
7.155,7.634
7.156,7.636
7.157,7.637
7.158,7.639
7.159,7.641
7.16,7.643
7.161,7.644
7.162,7.646
7.162,7.648
7.163,7.65
7.164,7.651
7.165,7.653
7.166,7.655
7.166,7.656
7.167,7.658
7.168,7.659
7.168,7.661
7.169,7.662
7.17,7.664
7.171,7.665
7.171,7.667
7.172,7.669
7.173,7.67
7.173,7.672
7.174,7.673
7.175,7.675
7.175,7.676
7.176,7.678
7.177,7.679
7.177,7.681
7.178,7.682
7.179,7.683
7.179,7.685
7.18,7.686
7.18,7.688
7.181,7.689
7.182,7.69
7.182,7.692
7.183,7.693
7.183,7.694
7.184,7.695
7.184,7.697
7.185,7.698
7.185,7.699
7.186,7.701
7.186,7.702
7.187,7.703
7.187,7.704
7.188,7.706
7.188,7.707
7.188,7.708
7.189,7.709
7.19,7.71
7.19,7.711
7.19,7.712
7.191,7.714
7.191,7.715
7.191,7.716
7.192,7.717
7.192,7.718
7.193,7.719
7.193,7.72
7.193,7.721
7.194,7.722
7.194,7.723
7.194,7.724
7.195,7.724
7.195,7.725
7.195,7.726
