Resting_ECG,Resting_PPG,Resting_GSR
-0.105,35.244,1.256
-0.158,35.268,1.256
-0.171,35.288000000000004,1.256
-0.165,35.303000000000004,1.256
-0.131,35.314,1.256
-0.12300000000000001,35.32,1.256
-0.14,35.32,1.256
-0.127,35.315,1.256
-0.095,35.305,1.256
-0.102,35.29,1.256
-0.147,35.27,1.256
-0.109,35.246,1.255
-0.026000000000000002,35.219,1.255
0.076,35.189,1.256
0.20800000000000002,35.157,1.255
0.32899999999999996,35.123000000000005,1.255
0.36700000000000005,35.086,1.255
0.26899999999999996,35.047,1.255
0.135,35.006,1.255
-0.11599999999999999,34.961,1.255
-0.528,34.912,1.255
-0.821,34.859,1.255
-1.0270000000000001,34.803000000000004,1.255
-1.09,34.742,1.255
-0.946,34.677,1.255
-0.72,34.61,1.255
-0.53,34.541,1.255
-0.326,34.471,1.255
-0.139,34.4,1.255
-0.011000000000000001,34.329,1.255
0.076,34.258,1.256
0.14800000000000002,34.187,1.255
0.151,34.116,1.255
0.138,34.046,1.255
0.13699999999999998,33.977,1.255
0.156,33.909,1.255
0.182,33.842,1.255
0.207,33.777,1.255
0.209,33.713,1.255
0.213,33.649,1.255
0.158,33.586,1.255
0.133,33.524,1.255
0.155,33.461999999999996,1.255
0.15,33.4,1.255
0.14,33.34,1.255
0.172,33.28,1.254
0.218,33.222,1.255
0.20199999999999999,33.164,1.255
0.16,33.108000000000004,1.255
0.15,33.052,1.254
0.142,32.997,1.255
0.162,32.942,1.255
0.203,32.888000000000005,1.255
0.193,32.834,1.254
0.158,32.781,1.254
0.145,32.728,1.255
0.161,32.675,1.255
0.19,32.624,1.255
0.21600000000000003,32.575,1.255
0.22399999999999998,32.528,1.255
0.21,32.483000000000004,1.255
0.228,32.44,1.254
0.21600000000000003,32.398,1.254
0.175,32.358000000000004,1.254
0.139,32.319,1.254
0.134,32.282,1.254
0.157,32.246,1.254
0.162,32.211999999999996,1.254
0.17600000000000002,32.179,1.254
0.131,32.148,1.254
0.11699999999999999,32.119,1.254
0.08800000000000001,32.093,1.254
0.067,32.071999999999996,1.254
0.055,32.058,1.254
0.067,32.053000000000004,1.254
0.11699999999999999,32.059,1.254
0.145,32.080999999999996,1.254
0.138,32.122,1.254
0.107,32.186,1.254
0.053,32.277,1.254
0.026000000000000002,32.398,1.254
0.02,32.552,1.254
0.052000000000000005,32.742,1.254
0.077,32.967,1.254
0.083,33.229,1.254
0.084,33.524,1.254
0.035,33.852,1.254
-0.017,34.209,1.254
-0.024,34.59,1.254
-0.024,34.991,1.254
-0.026000000000000002,35.408,1.254
-0.017,35.834,1.254
0.008,36.265,1.254
0.001,36.696,1.254
0.012,37.121,1.254
0.011000000000000001,37.536,1.254
-0.025,37.936,1.254
-0.066,38.318000000000005,1.254
-0.084,38.678000000000004,1.254
-0.085,39.014,1.254
-0.054000000000000006,39.323,1.254
-0.022000000000000002,39.603,1.254
-0.02,39.856,1.254
-0.062,40.079,1.254
-0.10300000000000001,40.274,1.254
-0.061,40.44,1.254
-0.03,40.578,1.254
-0.019,40.688,1.254
-0.021,40.773,1.254
-0.039,40.832,1.254
-0.057999999999999996,40.867,1.254
-0.07,40.879,1.254
-0.075,40.871,1.254
-0.053,40.842,1.254
-0.024,40.794000000000004,1.254
-0.003,40.73,1.254
-0.028999999999999998,40.649,1.254
-0.036000000000000004,40.555,1.254
-0.052000000000000005,40.446999999999996,1.254
-0.059000000000000004,40.328,1.254
-0.031,40.2,1.254
-0.021,40.062,1.254
0.02,39.917,1.254
-0.01,39.765,1.254
-0.01,39.607,1.254
-0.047,39.445,1.254
-0.073,39.28,1.253
-0.075,39.111,1.253
-0.044000000000000004,38.941,1.253
-0.039,38.77,1.253
-0.055999999999999994,38.597,1.253
-0.07400000000000001,38.424,1.253
-0.049,38.251,1.253
-0.003,38.077,1.253
0.001,37.903,1.253
-0.024,37.729,1.253
-0.048,37.556,1.253
-0.021,37.384,1.253
-0.017,37.214,1.252
-0.043,37.048,1.252
-0.061,36.885,1.252
0.004,36.728,1.252
0.011000000000000001,36.577,1.252
0.04,36.433,1.252
0.065,36.298,1.252
0.004,36.173,1.252
-0.024,36.059,1.252
-0.023,35.955999999999996,1.252
0.006999999999999999,35.866,1.252
0.024,35.788000000000004,1.252
0.023,35.723,1.252
0.045,35.67,1.252
0.044000000000000004,35.629,1.251
0.049,35.6,1.251
0.039,35.582,1.252
0.039,35.574,1.251
0.043,35.575,1.251
0.032,35.583,1.251
0.015,35.598,1.251
-0.006,35.619,1.251
-0.055,35.644,1.251
-0.057999999999999996,35.672,1.251
-0.044000000000000004,35.703,1.251
-0.08,35.735,1.251
-0.126,35.768,1.251
-0.147,35.8,1.251
-0.151,35.832,1.251
-0.139,35.861999999999995,1.251
-0.09699999999999999,35.889,1.251
-0.075,35.913000000000004,1.25
-0.087,35.931999999999995,1.251
