Resting_ECG,Resting_PPG,Resting_GSR
0.146,33.669000000000004,1.158
0.14800000000000002,33.653,1.158
0.14300000000000002,33.638000000000005,1.158
0.159,33.624,1.159
0.18100000000000002,33.611999999999995,1.159
0.165,33.603,1.16
0.16899999999999998,33.599000000000004,1.16
0.182,33.6,1.161
0.162,33.607,1.161
0.161,33.62,1.161
0.16699999999999998,33.641,1.162
0.165,33.669000000000004,1.162
0.14400000000000002,33.705999999999996,1.162
0.141,33.755,1.162
0.124,33.819,1.162
0.08199999999999999,33.9,1.163
0.052000000000000005,34.0,1.163
0.035,34.123000000000005,1.163
0.004,34.27,1.163
-0.024,34.443000000000005,1.1640000000000001
-0.024,34.641999999999996,1.1640000000000001
-0.035,34.866,1.165
-0.059000000000000004,35.111999999999995,1.165
-0.062,35.379,1.165
-0.07200000000000001,35.662,1.165
-0.08900000000000001,35.958,1.165
-0.099,36.26,1.165
-0.094,36.565,1.166
-0.09300000000000001,36.867,1.166
-0.094,37.159,1.166
-0.081,37.437,1.167
-0.09,37.696,1.167
-0.1,37.931999999999995,1.168
-0.08800000000000001,38.143,1.168
-0.077,38.325,1.168
-0.09300000000000001,38.477,1.169
-0.09300000000000001,38.598,1.169
-0.078,38.688,1.169
-0.08900000000000001,38.749,1.17
-0.10099999999999999,38.781,1.17
-0.083,38.787,1.17
-0.073,38.772,1.171
-0.08199999999999999,38.741,1.171
-0.075,38.702,1.171
-0.06,38.658,1.171
-0.062,38.608000000000004,1.172
-0.07200000000000001,38.552,1.172
-0.053,38.489000000000004,1.172
-0.055999999999999994,38.417,1.172
-0.07,38.335,1.172
-0.065,38.244,1.173
-0.051,38.144,1.173
-0.066,38.035,1.173
-0.062,37.918,1.1740000000000002
-0.048,37.793,1.1740000000000002
-0.054000000000000006,37.664,1.1740000000000002
-0.069,37.53,1.1740000000000002
-0.055,37.393,1.175
-0.053,37.254,1.175
-0.067,37.115,1.176
-0.063,36.976,1.176
-0.047,36.839,1.176
-0.064,36.705,1.177
-0.06,36.575,1.177
-0.043,36.449,1.177
-0.055,36.329,1.177
-0.063,36.214,1.178
-0.051,36.107,1.178
-0.047,36.005,1.178
-0.061,35.91,1.178
-0.057,35.82,1.179
-0.045,35.735,1.179
-0.047,35.655,1.179
-0.042,35.579,1.18
-0.022000000000000002,35.508,1.18
-0.017,35.44,1.18
-0.006999999999999999,35.374,1.181
0.023,35.311,1.181
0.042,35.251999999999995,1.181
0.043,35.196999999999996,1.181
0.040999999999999995,35.147,1.182
0.066,35.1,1.182
0.071,35.058,1.183
0.062,35.022,1.183
0.087,34.99,1.1840000000000002
0.099,34.963,1.1840000000000002
0.073,34.942,1.1840000000000002
0.068,34.926,1.185
0.054000000000000006,34.915,1.185
0.005,34.909,1.185
-0.012,34.907,1.185
-0.0,34.909,1.186
-0.021,34.914,1.186
-0.057,34.922,1.186
-0.055999999999999994,34.931,1.186
-0.065,34.942,1.187
-0.08,34.952,1.188
-0.08,34.963,1.188
-0.079,34.973,1.188
-0.10300000000000001,34.982,1.188
-0.095,34.986999999999995,1.189
-0.07400000000000001,34.989000000000004,1.189
-0.079,34.986999999999995,1.189
-0.09,34.982,1.189
-0.091,34.975,1.19
-0.095,34.967,1.19
-0.102,34.958,1.19
-0.081,34.95,1.19
-0.071,34.944,1.1909999999999998
-0.061,34.941,1.1909999999999998
-0.062,34.941,1.192
-0.045,34.943000000000005,1.192
-0.049,34.946999999999996,1.192
-0.027999999999999997,34.952,1.193
0.061,34.954,1.193
0.223,34.954,1.193
0.406,34.95,1.193
0.41100000000000003,34.942,1.193
0.297,34.928000000000004,1.193
0.196,34.908,1.193
0.084,34.882,1.194
0.021,34.853,1.194
0.006999999999999999,34.819,1.194
-0.11599999999999999,34.782,1.195
-0.22399999999999998,34.744,1.195
-0.268,34.704,1.195
-0.20800000000000002,34.664,1.195
-0.125,34.626,1.196
-0.055999999999999994,34.589,1.196
-0.066,34.555,1.196
-0.075,34.523,1.196
-0.055999999999999994,34.493,1.197
-0.052000000000000005,34.464,1.197
-0.053,34.437,1.197
-0.044000000000000004,34.411,1.198
-0.031,34.385,1.198
-0.036000000000000004,34.357,1.198
-0.027000000000000003,34.326,1.198
-0.004,34.293,1.199
-0.005,34.259,1.199
-0.019,34.223,1.2
-0.004,34.186,1.2
-0.001,34.150999999999996,1.2
-0.004,34.118,1.2
0.018000000000000002,34.088,1.2
0.025,34.062,1.2009999999999998
0.015,34.04,1.2009999999999998
0.022000000000000002,34.021,1.2009999999999998
0.033,34.005,1.2009999999999998
0.035,33.991,1.2009999999999998
0.025,33.978,1.202
0.026000000000000002,33.966,1.202
0.049,33.96,1.203
0.043,33.958,1.203
0.055,33.96,1.203
0.076,33.964,1.203
0.063,33.969,1.204
0.064,33.972,1.204
0.08800000000000001,33.972,1.204
0.08800000000000001,33.969,1.205
0.091,33.961,1.205
0.113,33.95,1.205
0.121,33.936,1.205
0.11699999999999999,33.919000000000004,1.205
0.127,33.899,1.206
0.14400000000000002,33.876,1.206
0.14800000000000002,33.851,1.207
0.14800000000000002,33.825,1.207
0.162,33.798,1.207
0.166,33.772,1.208
0.157,33.748000000000005,1.208
0.17300000000000001,33.726,1.209
0.17,33.708,1.209
0.147,33.698,1.209
0.14300000000000002,33.698,1.209
0.14400000000000002,33.709,1.21
0.126,33.736,1.21
0.099,33.78,1.2109999999999999
0.08199999999999999,33.843,1.212
0.068,33.928000000000004,1.212
0.03,34.035,1.212
