RRI_inf,PPI_pix
953.125,975.609756097561
1023.4375,1014.6341463414634
1136.71875,1131.7073170731708
1054.6875,1043.9024390243903
1039.0625,1034.1463414634147
1132.8125,1141.4634146341464
1167.96875,1170.7317073170732
1085.9375,1092.6829268292684
1011.71875,1014.6341463414634
1035.15625,1034.1463414634147
1101.5625,1082.9268292682927
1054.6875,1053.658536585366
980.46875,985.3658536585366
1035.15625,1024.3902439024391
1062.5,1063.4146341463415
1019.53125,1034.1463414634147
1031.25,1024.3902439024391
1023.4375,1024.3902439024391
1078.125,1063.4146341463415
1054.6875,1073.1707317073171
1062.5,1053.658536585366
1132.8125,1131.7073170731708
1160.15625,1170.7317073170732
1070.3125,1073.1707317073171
1035.15625,1024.3902439024391
1093.75,1092.6829268292684
1156.25,1141.4634146341464
1070.3125,1092.6829268292684
949.21875,946.3414634146342
996.09375,985.3658536585366
992.1875,1004.8780487804878
1011.71875,1004.8780487804878
949.21875,946.3414634146342
996.09375,985.3658536585366
1109.375,1121.9512195121952
1152.34375,1141.4634146341464
1117.1875,1121.9512195121952
1046.875,1053.658536585366
1031.25,1034.1463414634147
1125.0,1112.1951219512196
1125.0,1141.4634146341464
1105.46875,1102.439024390244
1023.4375,1014.6341463414634
1117.1875,1102.439024390244
1117.1875,1131.7073170731708
1070.3125,1063.4146341463415
976.5625,985.3658536585366
988.28125,975.609756097561
1019.53125,1024.3902439024391
1003.90625,985.3658536585366
890.625,917.0731707317074
902.34375,887.8048780487804
957.03125,956.0975609756098
988.28125,985.3658536585366
1164.0625,1151.219512195122
1152.34375,1160.9756097560976
1164.0625,1160.9756097560976
1136.71875,1131.7073170731708
1105.46875,1112.1951219512196
1117.1875,1121.9512195121952
1128.90625,1121.9512195121952
984.375,995.1219512195122
1039.0625,1024.3902439024391
1167.96875,1160.9756097560976
1160.15625,1160.9756097560976
1054.6875,1063.4146341463415
1113.28125,1102.439024390244
1191.40625,1190.2439024390244
1195.3125,1200.0
1109.375,1112.1951219512196
1003.90625,1004.8780487804878
1046.875,1043.9024390243903
1101.5625,1112.1951219512196
1097.65625,1092.6829268292684
1042.96875,1043.9024390243903
1132.8125,1121.9512195121952
1167.96875,1160.9756097560976
1074.21875,1102.439024390244
1082.03125,1073.1707317073171
1109.375,1102.439024390244
1097.65625,1092.6829268292684
1015.625,1014.6341463414634
1097.65625,1082.9268292682927
1089.84375,1092.6829268292684
1003.90625,1014.6341463414634
1054.6875,1053.658536585366
1066.40625,1073.1707317073171
996.09375,995.1219512195122
996.09375,1004.8780487804878
1015.625,985.3658536585366
1007.8125,1024.3902439024391
960.9375,946.3414634146342
945.3125,946.3414634146342
863.28125,887.8048780487804
882.8125,868.2926829268292
894.53125,897.560975609756
898.4375,887.8048780487804
964.84375,956.0975609756098
1015.625,1024.3902439024391
1035.15625,1043.9024390243903
1015.625,1004.8780487804878
