RRI_inf,PPI_inf,PPI_pix,label,
648.4375,644.53125,663.4146341,0,0
636.71875,636.71875,595.1219512,0,0
621.09375,617.1875,634.1463415,0,0
601.5625,601.5625,595.1219512,0,0
601.5625,593.75,604.8780488,0,0
625,625,634.1463415,0,0
652.34375,648.4375,673.1707317,0,0
671.875,667.96875,653.6585366,0,0
656.25,660.15625,653.6585366,0,0
636.71875,636.71875,653.6585366,0,0
617.1875,621.09375,604.8780488,0,0
621.09375,621.09375,634.1463415,0,0
628.90625,625,624.3902439,0,0
644.53125,640.625,643.902439,0,0
648.4375,652.34375,653.6585366,0,0
671.875,667.96875,673.1707317,0,0
664.0625,664.0625,673.1707317,0,0
632.8125,636.71875,604.8780488,0,0
660.15625,656.25,682.9268293,0,0
640.625,644.53125,643.902439,0,0
648.4375,644.53125,653.6585366,0,0
625,628.90625,614.6341463,0,0
625,621.09375,634.1463415,0,0
636.71875,640.625,634.1463415,0,0
644.53125,640.625,643.902439,0,0
671.875,667.96875,663.4146341,0,0
675.78125,675.78125,682.9268293,0,0
671.875,675.78125,663.4146341,0,0
675.78125,675.78125,692.6829268,0,0
671.875,671.875,653.6585366,0,0
671.875,671.875,682.9268293,0,0
636.71875,640.625,663.4146341,0,0
660.15625,656.25,643.902439,0,0
664.0625,664.0625,663.4146341,0,0
671.875,671.875,663.4146341,0,0
675.78125,679.6875,682.9268293,0,0
652.34375,648.4375,653.6585366,0,0
660.15625,664.0625,663.4146341,0,0
664.0625,667.96875,673.1707317,0,0
679.6875,675.78125,673.1707317,0,0
675.78125,671.875,682.9268293,0,0
632.8125,636.71875,624.3902439,0,0
671.875,675.78125,682.9268293,0,0
675.78125,675.78125,673.1707317,0,0
714.84375,714.84375,721.9512195,0,0
664.0625,667.96875,673.1707317,0,0
671.875,675.78125,663.4146341,0,0
675.78125,675.78125,682.9268293,0,0
687.5,683.59375,702.4390244,0,0
671.875,671.875,643.902439,0,0
667.96875,671.875,682.9268293,0,0
675.78125,675.78125,682.9268293,0,0
687.5,687.5,682.9268293,0,0
675.78125,675.78125,673.1707317,0,0
675.78125,679.6875,673.1707317,0,0
679.6875,675.78125,692.6829268,0,0
695.3125,695.3125,692.6829268,0,0
695.3125,695.3125,702.4390244,0,0
667.96875,671.875,673.1707317,0,0
687.5,687.5,682.9268293,0,0
699.21875,699.21875,712.195122,0,0
691.40625,691.40625,692.6829268,0,0
660.15625,660.15625,653.6585366,0,0
679.6875,675.78125,663.4146341,0,0
667.96875,671.875,682.9268293,0,0
664.0625,664.0625,663.4146341,0,0
648.4375,644.53125,653.6585366,0,0
652.34375,656.25,643.902439,0,0
652.34375,652.34375,653.6585366,0,0
656.25,652.34375,663.4146341,0,0
656.25,656.25,663.4146341,0,0
671.875,675.78125,673.1707317,0,0
679.6875,675.78125,673.1707317,0,0
664.0625,664.0625,663.4146341,0,0
648.4375,652.34375,653.6585366,0,0
667.96875,667.96875,673.1707317,0,0
699.21875,699.21875,702.4390244,0,0
703.125,703.125,702.4390244,0,0
