RRI_inf,PPI_inf,PPI_pix,label,
660.15625,664.0625,653.6585366,0,0
644.53125,644.53125,663.4146341,0,0
628.90625,628.90625,653.6585366,0,0
644.53125,636.71875,653.6585366,0,0
652.34375,652.34375,653.6585366,0,0
656.25,660.15625,663.4146341,0,0
644.53125,644.53125,614.6341463,0,0
660.15625,660.15625,634.1463415,0,0
660.15625,660.15625,663.4146341,0,0
648.4375,648.4375,634.1463415,0,0
628.90625,628.90625,624.3902439,0,0
640.625,640.625,653.6585366,0,0
648.4375,648.4375,643.902439,0,0
628.90625,628.90625,624.3902439,0,0
644.53125,648.4375,663.4146341,0,0
640.625,636.71875,663.4146341,0,0
640.625,640.625,663.4146341,0,0
632.8125,636.71875,643.902439,0,0
656.25,660.15625,663.4146341,0,0
664.0625,660.15625,809.7560976,1,0
660.15625,660.15625,1141.463415,1,1
644.53125,644.53125,585.3658537,0,0
652.34375,652.34375,624.3902439,0,0
660.15625,664.0625,643.902439,0,0
652.34375,644.53125,556.097561,1,0
617.1875,625,741.4634146,1,0
613.28125,613.28125,604.8780488,0,0
621.09375,617.1875,624.3902439,0,0
636.71875,632.8125,643.902439,0,0
648.4375,652.34375,643.902439,0,0
640.625,636.71875,653.6585366,0,0
609.375,613.28125,634.1463415,0,0
625,625,643.902439,0,0
648.4375,644.53125,663.4146341,0,0
644.53125,640.625,663.4146341,0,0
640.625,640.625,624.3902439,0,0
640.625,644.53125,634.1463415,0,0
652.34375,652.34375,663.4146341,0,0
652.34375,648.4375,643.902439,0,0
648.4375,652.34375,673.1707317,0,0
625,628.90625,624.3902439,0,0
648.4375,644.53125,673.1707317,0,0
652.34375,652.34375,653.6585366,0,0
660.15625,660.15625,643.902439,0,0
652.34375,652.34375,653.6585366,0,0
632.8125,636.71875,643.902439,0,0
656.25,656.25,653.6585366,0,0
656.25,656.25,673.1707317,0,0
656.25,652.34375,653.6585366,0,0
644.53125,644.53125,663.4146341,0,0
644.53125,648.4375,663.4146341,0,0
660.15625,660.15625,673.1707317,0,0
660.15625,656.25,663.4146341,0,0
660.15625,664.0625,673.1707317,0,0
652.34375,652.34375,634.1463415,0,0
664.0625,667.96875,653.6585366,0,0
671.875,667.96875,653.6585366,0,0
671.875,671.875,673.1707317,0,0
656.25,660.15625,653.6585366,0,0
636.71875,636.71875,682.9268293,0,0
656.25,656.25,673.1707317,0,0
656.25,652.34375,673.1707317,0,0
664.0625,664.0625,653.6585366,0,0
660.15625,660.15625,653.6585366,0,0
675.78125,675.78125,653.6585366,0,0
675.78125,671.875,653.6585366,0,0
664.0625,667.96875,663.4146341,0,0
652.34375,652.34375,634.1463415,0,0
648.4375,648.4375,673.1707317,0,0
660.15625,660.15625,702.4390244,0,0
656.25,656.25,731.7073171,0,0
648.4375,648.4375,702.4390244,0,0
636.71875,640.625,663.4146341,0,0
675.78125,671.875,702.4390244,0,0
707.03125,707.03125,692.6829268,0,0
726.5625,722.65625,692.6829268,0,0
707.03125,710.9375,673.1707317,0,0
660.15625,664.0625,673.1707317,0,0
691.40625,691.40625,673.1707317,0,0
703.125,699.21875,712.195122,0,0
687.5,691.40625,702.4390244,0,0
664.0625,660.15625,643.902439,0,0
664.0625,667.96875,702.4390244,0,0
691.40625,687.5,673.1707317,0,0
707.03125,703.125,682.9268293,0,0
691.40625,691.40625,673.1707317,0,0
660.15625,660.15625,673.1707317,0,0
675.78125,679.6875,682.9268293,0,0
683.59375,683.59375,702.4390244,0,0
683.59375,679.6875,673.1707317,0,0
660.15625,664.0625,663.4146341,0,0
683.59375,683.59375,682.9268293,0,0
683.59375,683.59375,692.6829268,0,0
695.3125,695.3125,653.6585366,0,0
675.78125,675.78125,643.902439,0,0
664.0625,667.96875,643.902439,0,0
691.40625,691.40625,663.4146341,0,0
683.59375,683.59375,653.6585366,0,0
656.25,656.25,663.4146341,0,0
632.8125,632.8125,643.902439,0,0
656.25,656.25,663.4146341,0,0
656.25,652.34375,682.9268293,0,0
660.15625,656.25,663.4146341,0,0
648.4375,652.34375,643.902439,0,0
652.34375,652.34375,673.1707317,0,0
664.0625,664.0625,663.4146341,0,0
671.875,667.96875,673.1707317,0,0
664.0625,667.96875,653.6585366,0,0
644.53125,640.625,643.902439,0,0
660.15625,664.0625,702.4390244,0,0
671.875,664.0625,663.4146341,0,0
671.875,675.78125,595.1219512,0,0
656.25,656.25,653.6585366,0,0
656.25,660.15625,653.6585366,0,0
679.6875,683.59375,653.6585366,0,0
660.15625,656.25,653.6585366,0,0
640.625,640.625,673.1707317,0,0
625,625,634.1463415,0,0
644.53125,644.53125,682.9268293,0,0
652.34375,652.34375,702.4390244,0,0
664.0625,660.15625,682.9268293,0,0
656.25,656.25,634.1463415,0,0
648.4375,652.34375,653.6585366,0,0
675.78125,671.875,653.6585366,0,0
699.21875,695.3125,673.1707317,0,0
675.78125,683.59375,673.1707317,0,0
644.53125,644.53125,634.1463415,0,0
648.4375,652.34375,673.1707317,0,0
660.15625,656.25,692.6829268,0,0
671.875,667.96875,712.195122,0,0
660.15625,664.0625,721.9512195,0,0
644.53125,644.53125,692.6829268,0,0
667.96875,671.875,692.6829268,0,0
699.21875,699.21875,712.195122,0,0
714.84375,718.75,673.1707317,0,0
714.84375,714.84375,663.4146341,0,0
683.59375,683.59375,692.6829268,0,0
703.125,703.125,663.4146341,0,0
703.125,699.21875,682.9268293,0,0
679.6875,679.6875,653.6585366,0,0
656.25,656.25,673.1707317,0,0
683.59375,687.5,663.4146341,0,0
679.6875,675.78125,682.9268293,0,0
679.6875,679.6875,653.6585366,0,0
652.34375,656.25,643.902439,0,0
664.0625,664.0625,673.1707317,0,0
671.875,667.96875,692.6829268,0,0
675.78125,671.875,692.6829268,0,0
660.15625,660.15625,653.6585366,0,0
648.4375,656.25,634.1463415,0,0
675.78125,675.78125,653.6585366,0,0
695.3125,687.5,653.6585366,0,0
675.78125,675.78125,682.9268293,0,0
648.4375,648.4375,643.902439,0,0
636.71875,636.71875,682.9268293,0,0
652.34375,652.34375,673.1707317,0,0
660.15625,652.34375,682.9268293,0,0
675.78125,675.78125,653.6585366,0,0
656.25,660.15625,643.902439,0,0
671.875,671.875,663.4146341,0,0
683.59375,691.40625,673.1707317,0,0
675.78125,675.78125,673.1707317,0,0
648.4375,648.4375,663.4146341,0,0
